full_url,short,category,raw_tokens,readability_tokens,lean_tokens,jina_tokens,lean_over_raw,lean_over_read,lean_over_jina,jina_keep,word_keep,lean_partial,lean_extractor
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Introduction,developer.mozilla.org/en-US/docs/Web/JavaScript/,techdocs,55268,2685,2021,34272,27.3,1.33,16.96,0.25,0.95,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods,developer.mozilla.org/en-US/docs/Web/HTTP/Method,techdocs,57574,1135,537,29896,107.2,2.11,55.67,0.11,1.2,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers,developer.mozilla.org/en-US/docs/Web/HTTP/Header,techdocs,78716,11733,6360,44365,12.4,1.84,6.98,0.56,1.06,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/HTTP/Status,developer.mozilla.org/en-US/docs/Web/HTTP/Status,techdocs,62724,4686,2761,34003,22.7,1.7,12.32,0.41,1.02,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array,developer.mozilla.org/en-US/docs/Web/JavaScript/,techdocs,66357,16022,10576,26655,6.3,1.51,2.52,1.02,1.01,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise,developer.mozilla.org/en-US/docs/Web/JavaScript/,techdocs,51958,7191,5805,15386,9,1.24,2.65,0.93,0.98,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API/Using_Fetch,developer.mozilla.org/en-US/docs/Web/API/Fetch_A,techdocs,48836,6377,5212,13659,9.4,1.22,2.62,0.91,1.08,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/async_function,developer.mozilla.org/en-US/docs/Web/JavaScript/,techdocs,57262,3350,2742,35240,20.9,1.22,12.85,0.27,1.03,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/CSS/flex,developer.mozilla.org/en-US/docs/Web/CSS/flex,techdocs,92428,6409,2646,77434,34.9,2.42,29.26,0.17,0.69,0,defuddle
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Optional_chaining,developer.mozilla.org/en-US/docs/Web/JavaScript/,techdocs,56930,2478,2050,33594,27.8,1.21,16.39,0.23,1.04,0,defuddle
https://docs.python.org/3/tutorial/introduction.html,docs.python.org/3/tutorial/introduction.html,techdocs,21924,5226,4751,7782,4.6,1.1,1.64,0.8,0.99,0,readability
https://docs.python.org/3/tutorial/datastructures.html,docs.python.org/3/tutorial/datastructures.html,techdocs,31548,7535,6361,10570,5,1.18,1.66,0.87,1,0,defuddle
https://docs.python.org/3/tutorial/controlflow.html,docs.python.org/3/tutorial/controlflow.html,techdocs,42022,10549,9036,14775,4.7,1.17,1.64,0.88,1,0,defuddle
https://docs.python.org/3/library/functions.html,docs.python.org/3/library/functions.html,techdocs,88123,27584,19503,37094,4.5,1.41,1.9,0.88,0.96,0,defuddle
https://docs.python.org/3/library/json.html,docs.python.org/3/library/json.html,techdocs,32164,8827,6286,12287,5.1,1.4,1.95,0.81,0.96,0,defuddle
https://docs.python.org/3/library/asyncio-task.html,docs.python.org/3/library/asyncio-task.html,techdocs,49920,14213,10029,19745,5,1.42,1.97,0.87,0.96,0,defuddle
https://docs.python.org/3/library/os.html,docs.python.org/3/library/os.html,techdocs,200782,63404,43094,48445,4.7,1.47,1.12,0.96,0.94,0,defuddle
https://docs.python.org/3/library/stdtypes.html,docs.python.org/3/library/stdtypes.html,techdocs,224564,64222,48361,85109,4.6,1.33,1.76,0.9,0.99,0,defuddle
https://nextjs.org/docs/app/getting-started/installation,nextjs.org/docs/app/getting-started/installation,techdocs,286122,1955,1978,30328,144.7,0.99,15.33,0.28,1.33,0,defuddle
https://react.dev/learn/thinking-in-react,react.dev/learn/thinking-in-react,techdocs,96652,5481,5109,9111,18.9,1.07,1.78,0.75,1.02,0,defuddle
https://react.dev/reference/react/useState,react.dev/reference/react/useState,techdocs,154808,6755,5438,14657,28.5,1.24,2.7,0.7,0.97,0,defuddle
https://react.dev/reference/react/useEffect,react.dev/reference/react/useEffect,techdocs,202888,10853,8873,19890,22.9,1.22,2.24,0.76,1,0,defuddle
https://docs.github.com/en/get-started/start-your-journey/hello-world,docs.github.com/en/get-started/start-your-journe,techdocs,62210,2408,1820,10387,34.2,1.32,5.71,0.53,0.92,0,defuddle
https://nodejs.org/api/fs.html,nodejs.org/api/fs.html,techdocs,350729,104311,68861,,5.1,1.51,,,1,0,readability
https://nodejs.org/api/http.html,nodejs.org/api/http.html,techdocs,216973,39893,26344,33108,8.2,1.51,1.26,0.93,0.92,0,defuddle
https://nodejs.org/api/path.html,nodejs.org/api/path.html,techdocs,34141,5236,3745,11941,9.1,1.4,3.19,0.61,0.93,0,defuddle
https://go.dev/doc/tutorial/getting-started,go.dev/doc/tutorial/getting-started,techdocs,7829,1504,1345,4025,5.8,1.12,2.99,0.65,1.02,0,defuddle
https://kubernetes.io/docs/concepts/overview/,kubernetes.io/docs/concepts/overview/,techdocs,129154,1994,1849,51495,69.9,1.08,27.85,0.13,1.01,0,defuddle
https://docs.docker.com/get-started/,docs.docker.com/get-started/,techdocs,88055,90,72,4175,1223,1.25,57.99,0.04,0.96,0,defuddle
https://www.postgresql.org/docs/current/tutorial-start.html,postgresql.org/docs/current/tutorial-start.html,techdocs,3645,57,330,2531,11,0.17,7.67,0.23,3.42,0,defuddle
https://en.wikipedia.org/wiki/Large_language_model,en.wikipedia.org/wiki/Large_language_model,reference,222410,49472,27013,116785,8.2,1.83,4.32,0.52,0.92,0,readability
https://en.wikipedia.org/wiki/Model_Context_Protocol,en.wikipedia.org/wiki/Model_Context_Protocol,reference,49695,4831,2352,30908,21.1,2.05,13.14,0.18,0.87,0,readability
https://en.wikipedia.org/wiki/Transformer_(deep_learning_architecture),en.wikipedia.org/wiki/Transformer_(deep_learning,reference,243107,49888,24403,49774,10,2.04,2.04,0.69,0.9,0,readability
https://en.wikipedia.org/wiki/Retrieval-augmented_generation,en.wikipedia.org/wiki/Retrieval-augmented_genera,reference,53357,6446,4046,34125,13.2,1.59,8.43,0.3,0.95,0,readability
https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol,en.wikipedia.org/wiki/Hypertext_Transfer_Protoco,reference,126133,26524,14523,73134,8.7,1.83,5.04,0.5,0.9,0,readability
https://en.wikipedia.org/wiki/Neural_network_(machine_learning),en.wikipedia.org/wiki/Neural_network_(machine_le,reference,296103,77577,35161,168894,8.4,2.21,4.8,0.51,0.86,0,readability
https://en.wikipedia.org/wiki/Artificial_intelligence,en.wikipedia.org/wiki/Artificial_intelligence,reference,408658,116250,56304,268488,7.3,2.06,4.77,0.53,0.9,0,readability
